Turkish,English
biçimde,in a way
uyu,Sleep
yakalamak,catch
hal,status
vincent,vincent
borçluyum,I owe
olaya,event
görmeyi,see
polisin,the police
ani,sudden
edeceğini,will be
sevmiyorum,I do not like
saçmalama,come off it
kalacağız,We will stay
bittiğinde,When finished
amin,amine
kalabilir,may remain
etrafa,around
insana,people
çanta,bag
alay,regiment
ince,thin
kızların,girls
yaşadığını,he lived
anlamsız,meaningless
adresi,address
buyur,commanded
arabayla,with car
kurtardın,you saved
yerler,places
gününü,day
julia,julie
gordon,gordon
gelmedim,I did not come
alkol,alcohol
aziz,saint
kardeşinin,brother
çıkıyoruz,we're going
daire,circle
sabaha,to morning
vurmak,hit
wayne,wayne
bizzat,personally
kemik,bone
görünüyordu,it looked
burnunu,nose
alçak,low
savaşın,fight
anlatmaya,tell
tutar,amount
etmesini,to the
saate,hours
yapmadın,you did not
konuştuk,We talked
şampanya,champagne
güzelim,beautiful
altyazı,subtitle
açlıktan,from hunger
bakabilir,You can see
verdiğini,decided that
bugüne,today
hissettiğini,you feel
kolayca,easily
başlıyorum,I'm starting
noktası,point
kazandın,you won
konuşmalıyım,I need to talk
aracı,mediator
aylık,monthly
lana,lena
binanın,the building
kafamı,my head
gününde,on the day
değişik,different
perşembe,Thursday
bilgileri,information
gittik,We went
barda,the bar
katili,killer
tesadüf,coincidence
wilson,wilson
hız,speed
böylesi,such
uçan,flying
duran,standing
eşi,partner
haftadır,weeks
istemiyoruz,We do not want
yaşadım,I've had
gördüğümde,I saw
tarzı,his style
ron,ron
buldular,they found
puan,point
anlatayım,let me tell
harvey,harvey
yönetim,Administration
kaçak,leakage
erkeklerin,men
soruyu,question
birliği,unity
eşim,my partner
laura,laura
rick,rick
gitmeni,go to
girebilir,You can enter
gemide,on board
no,No.
yaşamaya,live
ailemi,my family
halka,ring
gitmeyi,to go
arkadan,behind
ölmeden,he died
bildiği,know that
isterse,If you want
ayın,ritual
sözünü,promise
bırakır,leaves
bildin,did you know
allahım,allah
söyleyebilirsin,you can say
ölümüne,to death
dertte,in trouble
kokain,cocaine
anlar,moments
sally,sally
doktorlar,doctors
merhamet,pity
giy,wear
dinliyorum,I'm listening
attım,I threw
ciddiye,seriously
teşhis,diagnosis
kardeşimi,my brother
is,business
yaparak,by
bahsettiğini,he's talking about
senle,It s why
cevabı,answer
olurdum,I would
leo,leon
başlayın,begin
memnunum,I am pleased
kek,cake
rezil,infamous
tarz,style
güvenilir,reliable
ısrar,insist
parker,parker
aşkı,hanger
ooh,ooh
kalıyorum,I stay
komuta,command
anlatacağım,I will tell
şükran,gratitude
bilgiler,informations
terörist,terrorist
öldürmüş,He killed
yapmadan,without
vermedi,I did not
sizlere,you
suçum,crime
arabam,My car
balığı,fish
kalanını,the rest
etmeni,factor
uluslararası,international
gidebiliriz,I could go
malı,financial
sorumluluk,responsibility
house,house
adli,judicial
peynir,cheese
köle,slave
naber,whats up
bitmiş,finished
marie,marie
korkutucu,scary
demeye,to say
adamdı,the man who
başladık,We started
liz,liz
dick,dick
uyarı,warning
olana,from
kötüye,abuse
tarif,specification
kızını,Your daughter
örümcek,spider
güveniyorum,I trust
istediğimiz,we want
başlamadan,the start
uydu,satellite
benziyorsun,looks like you
benzemiyor,not like
connor,connor
cihazı,device
önemlisi,important
şapka,hat
kanlı,bloody
korktum,I scared
yapamayız,We can not do
bölgede,in the region
kolunu,lever
etmekten,from to
açtı,opened
direk,pole
önde,ahead
İtiraf,Confession
doldu,has expired
ateşe,fire
öğretmen,teacher
uzaktan,afar
artı,plus
bağla,connect
jesse,jesse
bakmaya,look
görecek,will see
cehennemde,hell
çıkmaz,impasse
istememiştim,I did not want
almadan,without
söylediğimi,tell
deniyor,it's called
frankie,frankie
karıştı,confused
söyleyeceksin,You're gonna tell
hı,what
yapıldı,done
marshall,marshall
günüm,my day
birilerinin,one of the
etkili,effective
söylersin,you say
oradaydı,was there
satış,sales
angel,angela
bitecek,will end
karı,wife
bulalım,Let's
dışarıya,out
yakaladık,We caught
edilen,Tagged
düzelecek,It will be fine
affet,forgive
etmişti,had
klasik,classical
yedim,I ate
doktoru,doctor
kader,destiny
vermeyi,to give
zekice,witty
dişi,female
yanıt,response
panik,panic
başımdan,my head
taşı,Move
telefona,phone
kurallar,rules
mars,anthem
bırakayım,I leave
özlüyorum,I am missing
sivil,civilian
ihtimali,possibility of
ederler,it's
kamyon,truck
istersiniz,Do you want
plastik,plastic
yaptığına,do that
alabilirim,I get
çocukla,child
istemezdim,I did not want
arabasını,car
geçiriyor,spends
dostlarım,my hearties
sordun,you asked
yapsın,you do
hatan,the error
öğren,learn
anlamda,sense
seve,seve
görünüyorum,My looks
duyabiliyor,hear
ho,home
elime,my hands
kokusunu,odor
tuzağa,trapped
washington,washington
ambulans,ambulance
amaç,goal
uyar,warning
bond,bond
söylemiyorum,I do not say
benimkini,mine
önem,importance
oluşan,formed
versene,Give us
gerekti,I had to
dediler,They said
numarasını,number
uzaylı,alien
değeri,value
kaybetmiş,lost
uslu,good
adamdan,the man
yaramıyor,does not
pisliği,mess
bıçağı,knife
vurdun,you hit
york'a,yorke
rengi,color
yazılı,written
gösteren,indicative
vurdum,I hit
lewis,lewis
insanlardan,from people
bilgiyi,information
kimliğini,identity
değişir,change
yatıyor,lies
giderse,If you go
yılında,in the year
ölüyorum,I'm dying
ton,ton
gazete,newspaper
anında,instantly
gitmiyorsun,You're not going
davranıyor,treats
sanıyorsunuz,you think
porno,porn
nasil,how
görüş,opinion
vereceğiz,I'll give
ihtiyar,old
cia,cia
konuşan,speaking
ağzından,from the mouth
deneyelim,Let's try
umuyordum,I was hoping
düzenli,tidy
kumar,gambling
Carlos,Carlos
ot,weed
lou,lou
görürsün,you see
seç,Select
yerime,my place
Gary,Gary
birbirlerine,to each other
olayım,event
gitmesi,to go
söylemen,Do not tell
anlam,meaning
sınır,boundary
eğlenceler,entertainment
durumun,the situation
tutan,holding
soruşturma,investigation
pencereden,the window
müdürü,director
örneğin,for example
virüs,virus
üvey,step
ruhunu,spirit
geldiğimde,when I came
gibiler,such as
birisiyle,someone
gerçekleri,facts
delil,proof
yapabileceğini,you can do
hatırla,Remember
ayrılmak,leave
davran,treat
lider,leader
modern,modern
görmem,I see
kimler,who
ikisini,both
görmezden,ignore
kafalı,-headed
yolla,send
kasabada,in town
nedeniyle,because of
yaşıyoruz,we are living
çeker,Are
kent,city
babanla,your father
odayı,room
üstün,superior
geçmişi,history
duymadın,you heard
kayıtları,records
izledim,I watched
jüri,jury
kaçmaya,escape
izliyor,is watching
yanılıyorsun,You're wrong
İşini,Your job
kum,Annual
çaresine,resort to
kadarını,until the
otomatik,automatic
üstüme,to top
İnsanlara,To people
yılı,year
noktaya,point
feda,sacrifice
earl,earl
pazarlık,bargain
meydana,occur
boku,shit
zordur,It is difficult
Greg,Greg
güzellik,beauty
yapamıyorum,I can not
şampiyon,champion
yalvarıyorum,I beg
yapabileceğimiz,we can do
noktada,at the point
yarayacak,will help
öldürün,kill
mahkemede,in court
ödülü,award
olumsuz,negative
içmeye,drinking
uyanık,awake
çalıştığı,it works
yanındaki,side
ziyarete,visit
yi,yi
herşeyin,everything
açıp,open
Maggie,Maggie
şarkıyı,song
gelmesi,arrive
Bart,Bart
gelsene,come on
öte,beyond
söylemeyeceğim,I will not tell
dinliyor,listening
vaktin,you have time
ahmak,idiot
öldürüyor,killing
oyunun,the game
hop,hop
olmayacağım,I will not
elli,fifty
Molly,Molly
izleyin,follow
zekalı,witted
zamanla,in time
öldürmedim,I did not kill
yaparlar,they do
kurtar,save
düşüyor,falls
öylesin,get it
üniversiteye,university
kalmaya,remain
servisi,service
oğlumun,the son
cennet,heaven
öncesi,pre-
gereksiz,unnecessary
kaçırdım,I missed
karanlıkta,in the dark
ortalıkta,around
dile,sorry
kocan,stub
Buffy,Buffy
haberdar,informed
borç,debt
keser,cuts
sesle,with voice
darbe,coup
ailesinin,the family
altındaki,below
mevcut,available
uyum,harmony
Johnson,Johnson
masaya,table
hikâye,story
tuttu,kept
alırız,we take
kurmak,establish
otelde,in hotel
hukuk,law
çıkarsa,If
sabahın,the morning
Linda,Linda
uzaklaş,out
karısını,his wife
dosya,file
tutmaya,keep
soygun,robbery
hain,traitor
konsantre,concentrated
anladığım,I understand
bekliyorlar,they're waiting for
ekselansları,His Excellency
söylemesi,tell
önden,front
geçelim,Let's go
tarafına,party to
anlattım,I told
telafi,compensation
getiriyor,brings
edilemez,can not be
bulmam,I find
milyar,billion
söylerdi,he said
almıştım,I bought
bulamıyorum,I can not find
adamımız,our man
kardeşimin,my sibling's
Angela,Angela
öp,kiss
gelmeyecek,will not come
dinleme,listening
sınıfta,in the class
duvar,wall
giderek,increasingly
avcı,Hunter
duruyorsun,you keep
sesleri,sounds
bulabilirim,I can find
değiştirdi,changed
etmeyeceğim,I will not
savaşçı,warrior
isteyeceğim,I will ask
yatın,the yacht
Carol,Carolina
kış,winter
lise,high school
gideceğini,would go
sağlıyor,are providing
meşgulüm,I'm busy
görevim,my duty
bahsediyor,Talking about
boşuna,in vain
çocuğunu,child
içelim,let's drink
pas,rust
miktarda,the amount
garson,waiter
sabırsızlanıyorum,I can not wait
okumak,reading
boy,size
geçit,passage
york'ta,in york
yapardı,He would do
sıraya,row
yetenek,ability
çalmak,play
ok,arrow
çıkmadı,It came out
dolusu,fill
etmedin,you did not
İşim,Name
yandan,hand
konuya,subject to
olurlar,will
zehir,poison
alındı,receipt
türden,kind
merkezine,center
genetik,genetic
josh,josh
bağlantısı,link
yoruldum,I'm tired
işime,my job
haberlerim,My news
planım,plans
ihtimal,odds
yapmaktan,from making
yemiş,fruit
bekledim,I waited
üstünü,degree of
hapis,prison
halkın,the people
kimmiş,who
yaşındasın,are old
elle,hands
söyleyip,telling
olacağına,would be
yük,load
koydu,laid
gittiği,he went
vermeden,without
fıstık,peanut
ordusu,army
yapıyordun,were you doing
vermişti,He had given
kalem,pen
adres,address
ötesinde,beyond
dilemek,wish
Todd,Toddler
yöne,direction
üzülme,Do not be sad
vali,governor
gidiyorlar,they are going
verirseniz,If data
helikopter,helicopter
kovboy,cowboy
Leonard,Leonard
gay,gays
olayları,events
çete,gang
çekim,pull
oksijen,oxygen
sakla,hide
veri,data
yapacaksınız,you do
aranızda,among you
niyetim,My intention
icabına,take care of
başardım,I was able
İndir,Download
bitirmek,finish
buradaydı,I was here
aldığın,you get
jamie,jamie
sürmez,It will not take
buluşma,meeting
yerleri,locations
listesi,list
ned,ned
küçükken,"young,"
bitince,finished
şirketin,the company
bakacak,look to
belkide,maybe
zamanını,time
düşünüyorlar,they think
cooper,cooper
kurabiye,cookie
beynini,brains
okulun,the school
işlerin,the works
tracy,tracy
yapılması,done
teklifi,offer
yarbay,lieutenant colonel
justin,justin
matthew,matthew
hırsızlık,theft
sınırı,limit
duymuş,heard
bitiyor,ends
yazan,writer
yavrum,baby
görünmez,invisible
bulunduğu,where
sapık,pervert
köpekler,dogs
nerdeyse,almost
sorma,dont ask
kıçımı,my ass
politik,political
cinayeti,murder
sinirli,angry
ulaşmak,reach
İsmi,Name
londra,London
oğlunun,the son
alana,area
miller,miller
derdim,I would say
midir,is it
sersem,giddy
düşünmüyor,does not think
korkmuyorum,I'm not afraid
silahın,the weapon
bulmamız,finding
adlı,judicial
ederse,If the
hatası,failure
dönüyorum,I'm going
sürüyor,progress
betty,betty
yıllarca,for years
İmkansız,Impossible
ikiye,in two
bilerek,on purpose
meşhur,famous
dostlar,friends
gezegen,planet
mecbur,forced
etmiyorsun,You do not
mmm,mmm
merkezinde,in the center
televizyonda,on TV
teker,wheel
hepinize,to all of you
wow,woW
hanımlar,ladies
koşun,jogging
işbirliği,cooperation
sıkıldım,I am bored
göreve,task
üstünden,across
hatırlamıyor,not remember
başlamış,started
hepinizin,you all
aksine,unlike
gürültü,noise
aa,AA
gidemezsin,you can not go
petrol,oil
oynamaya,play
döndüğünü,he returned
aktif,active
halkı,people
arkasından,behind
uçakta,aboard
brown,brown
veriyoruz,we give
müdahale,intervention
koymak,put
gelişme,development
çıkart,Remove
davis,davis
neyden,from what
çıkacağız,We're going
yaşadığı,lived
nancy,nancy
veriyorlar,they are giving
bırakacağım,leave
kaçış,escape
ülkede,in the country
almadım,I did not take
hali,carpet
açar,opens
duyamıyorum,I can not hear
ailemin,my family
getirecek,will bring
başkasının,someone else
kiliseye,church
kullanma,use
duman,smoke
bahis,bet
istemiyorsan,if you do not want
delirdin,crazy
hediyesi,gifts
alamıyorum,I can not
kulübü,club
me,ma
edebilecek,that can
şeylerle,with things
buysa,buysa
istediler,they wanted
ari,Aryan
ömür,life
kötülük,evil
şansını,chances
reklam,advertisement
biliyormusun,do you know
teknoloji,technology
başkaları,others
dil,tongue
hakkım,right
hepinizi,all of you
arkadaşımı,my friend
gözlerin,eyes
etmenin,the factors
jay,jay
çıkarmaya,removing the
yönünde,towards
vermedim,I did not
aklında,in mind
etmemiz,we have to
öfke,anger
ederdi,it was
tahta,board
soruyorsun,asks
sevmiyor,does not love
sydney,sydney
İstediğim,I want
gördüğü,sees
saçlı,haired
yakaladı,caught
boyun,neck
gördüğümü,I saw
sesler,sounds
yatırım,investment
tanırım,I know
cadılar,witches
kol,arm
oysa,whereas
aykırı,against
geçirmiş,have spent
roman,novel
kadınlara,women
çeken,suffering
kurusu,dry
yetmez,not enough
aaron,aaron
tanımıyorsun,You do not know
vermiştim,I gave
kullanmayı,to use
çıkacağım,I will go out
sayfa,page
ada,island
babasını,father
amma,amman
bildiğiniz,you know
mickey,mickey
boya,paint
birisine,someone
bilimsel,scientific
kaçmış,have escaped
sırrı,secret
şov,show
verdiniz,You gave
maruz,exposed
şiir,poem
durmadan,non-stop
cole,cole
bittiğini,it ends
dar,narrow
eger,if
işinde,business
konuştu,spoke
bekleyeceğim,I'll wait
sok,shock
kahverengi,Brown
bulana,bulana
etkisiz,ineffective
gösterin,show
işiniz,Your job
siktiğimin,fuckin
zorundaydım,I was difficult
neredeler,where are they
kapandı,closed
aklı,mentally
zehirli,toxic
emma,emma
burun,nose
toplantısı,meeting
hakkın,right
mıdır,is it
dediğine,also that
olmana,not to
misafir,guest
keith,keith
av,hunting
yem,forage
olumlu,positive
denize,overboard
gençler,youth
yolumdan,my way
iyiyiz,we are good
girmeye,enter
istemediğini,he did not want
çektim,I took
seçeneğim,options
delikanlı,lad
hazırla,prepare
düşünür,thinker
eğil,incline
bahset,mention
sağladı,provided
durumunu,status
bensiz,without me
yeah,yeah
kalanı,the rest
temizlik,cleaning
haklısınız,you are right
başardı,I was able
bitirelim,Let's end
sağlar,provides
başkalarının,others
çatlak,crack
olabildiğince,as much as possible
ilham,inspiration
çağırın,call
allison,allison
sayısı,number
elmas,diamond
kabus,nightmare
gücün,power
raymond,raymond
anlamını,meaning
veronica,veronica
nehir,river
logan,logan
düşünsene,Imagine
amerika'da,in america
götürür,take the
eti,meat
ağrıyor,hurts
büyücü,Wizard
söylediklerini,said they
okudun,read
çekiyorum,I'm pulling
yarına,for tomorrow
içimde,inside
ikimizin,the two of us
dakikaya,minutes
çıktığını,come out
İleri,Further
dennis,dennis
değii,'s not
şahsen,personally
söylememi,tell me
dana,calf
inkar,denial
gitsem,gitsem
sinyali,signal
ilişkisi,relationship
terfi,promotion
espri,humor
özleyeceğim,I will miss
yemekten,eating
altını,gold
fikrimi,my mind
sonny,sonny
fotoğrafı,photo
jacob,jacob
hoşlanmıyorum,I do not like
şifre,password
katilin,the killer
arıyorlar,they are looking for
popüler,popular
otele,hotel
işareti,mark
söylüyorsunuz,you say
willie,willie
yasadışı,illegal
edersiniz,will you
avukatı,lawyer
düzine,dozen
adet,piece
kasabaya,town
bunlarla,therewith
görebiliyor,can see
idam,execution
aah,aah
birbirlerini,each other
aradın,called
kalırsa,If
elindeki,in your hand
anlatacak,will tell
davası,case
elliot,elliot
kutlu,blessed
etki,effect
man,Man
yardımın,help
yakıt,fuel
yaşına,age
çevir,translate
anlaşmayı,agreement
çarşamba,Wednesday
evlenme,marriage
seth,seth
yazmış,He wrote
geçtim,I passed
nasılsa,somehow
kendilerine,themselves
kızının,of girl
çalışıyorsunuz,you are trying
önünden,front
kaçık,nut
çoğunu,most of the
kalmayı,stay
gelmiştim,I come
kimliği,identity
derse,course
anlıyorsun,you understand
çıkardım,I took
karşınızda,your face
ibaret,nothing
saçını,hair
gitmesini,go to
harita,map
yatmak,lie
jennifer,jennifer
jordan,jordan
satmak,sell
yapmıyor,does not
versin,give
olmanız,Do not
amerika'nın,in america
oturma,sitting
doğruca,straight
duyduk,We heard
kesip,cut out
borçlu,debtor
bugünlerde,nowadays
amiral,admiral
birimiz,one of us
blok,block
aralar,Search for
yanından,over
dakikalığına,minutes
odama,my room
tanıştığıma,to meet
amerika'ya,america
kalkın,developing
süren,time
elleri,hands
ibne,fagot
orman,Forest
stanley,stanley
giren,incoming
İngiltere,England
ağrı,ache
kızımın,my daughter
gözler,eyes
çılgınlık,frenzy
dostun,your friend
sessizce,quietly
başımıza,our heads
sesin,sound
ödemek,pay
kurallara,the rules
kaçıyor,fleeing
geliyordu,sounded
dogru,true
kıç,ass
kimyasal,chemical
dağ,mountain
hakaret,insult
gösterecek,to show
İşleri,jobs
öleceksin,you will die
kaçın,avoid
charlotte,charlotte
almaz,It does not take
aklımdan,my mind
arkadaşlarını,your friends
seviyoruz,we love
getiririm,I return
nadir,rare
çalıştın,you worked
martha,martha
brad,brad
arabamı,my car
oğlunuz,your son
endişeleniyorum,I'm worried
düzen,order
değiştirdim,I change it
bekleme,wait
öldürdüler,they killed
geçiş,transition
steven,steven
içecek,beverage
kalmasını,remain
şunun,the following
hoşçakalın,goodbye
bİr,one
çocuklarım,My children
almalıyım,I have to get
deniyorum,I am trying
sophie,sophie
abi,brother
arkadaşına,friend
kilit,lock
randevum,appointment
miydiniz,Did you
eşyaları,goods
walt,walter
oturmak,sit
lideri,leader
ticaret,trade
gidemem,I can not go
almalıyız,We need to get
örneği,example
demin,just now
kanal,channel
sağla,provides
vermiyorsun,do not you
devreye,circuit
ellerinizi,your hands
ye,eat
yiyelim,let's eat
resimleri,pictures
harikasın,harikasın
belası,scourge
las,las
tanesini,them the
kasa,safe
diyeyim,I say
binayı,building
ailesini,family
kendimden,from myself
hakkını,the right to
eşit,equal
teyze,aunt
ian,ian
brooke,brooke
yasa,live
göreceğim,I will see
nerelerdeydin,where have you been
minnettar,grateful
olayını,event
yolladı,he sent
penny,penny
attın,you put
eşek,ass
dönem,period
sebebini,the reason
bire,to one
monica,monica
dönüyoruz,we're going
haklıydı,He was right
oturan,sitting
beth,beth
dansı,dance
hayran,fan
dönmem,I return
bense,b Sense
ülkeyi,country
kuvvetli,powerful
başlama,start
masanın,table
düşündü,thought
bulduğumuz,we found
benle,with me
birşeyi,something
borçlusun,you owe
haksızlık,injustice
baya,baya
ölümünden,his death
yapmasını,do
yapabileceğin,you can do
ortalığı,mess
babanız,your father
amanda,amanda
shane,shane
aptallık,stupidity
yapmıştım,I have done
soruyor,asks
abd,USA
çıkarıp,Remove
gitmişti,He had gone
liste,list
yayın,broadcasting
joseph,joseph
kuzeye,north
gelemem,I can not come
çantayı,bag
ötürü,due to
düşen,falling
kalbimi,my heart
konuşurum,I talk
hapisten,of jail
kıyafet,clothes
başarı,success
bulacak,will be found
memuru,officer
aslan,Lion
töreni,ceremony
yürüyüşe,walking
bulabilir,find
oradaydım,I was there
biçim,format
sayede,way
bırakacak,leave
defolun,Get out
jin,j
şüphesiz,no doubt
edilecek,will be
başladılar,they began
sayıda,number
yüzümden,my face
matematik,maths
açıldı,opened
dışarda,externally
onlarda,they
kafan,head
taşıyor,carrying
ethan,ethan
verirsin,you give
lafı,remark
imza,signature
belirsiz,uncertain
istedikleri,they want
dükkanı,shop
emniyet,safety
kata,floors
oynayalım,let's play
yapmana,making the
saatin,the clock
sağlayan,providing
sizleri,you are
öldüğünde,when he died
diyeceksin,you say
casey,casey
kardeşler,siblings
sorunlar,problems
gözlerimi,my eyes
rüyalar,dreams
çıkarken,while
adamlarım,My man
kaya,rock
istiyorsa,If you want
döndüğünde,when he returned
ettiğiniz,that you
sokaklarda,in the streets
zahmet,bother
üzereyim,I'm about
şeyini,the thing
jonathan,jonathan
alması,take
öleceğiz,we will die
bulabiliriz,we find
yaşındayım,years old
söylediniz,you said
hücre,cell
mösyö,monsieur
görevin,the duties
direkt,direct
işle,process
müsait,available
görevlisi,officer
kımılda,moving
yemeye,eat
kraliyet,royal
yapardın,you do
yapabilecek,to do
çelik,steel
kızarmış,fried
bilmez,ignorant
kalkıp,up
ölümden,death
dönme,rotation
annesini,mother
biziz,We are
şekli,shape
gönderdim,I sent
doları,dollar
tadına,taste
yüze,to face
istediklerini,they want
kenny,kenny
kurulu,board
sun,offer
tetiği,trigger
dilini,language of
şeyde,the thing
şehirdeki,in the city
öğretti,he taught
elma,apple
telefonun,phones
haksız,unfair
olabilirsiniz,you may
kolu,lever
yaptığınızı,do you
oynamayı,to play
muydunuz,Did you
konuşur,speaks
rüşvet,bribe
ağlama,cry
konuşuyoruz,we are talking
uzmanı,professional
doktorun,doctor
tanıklık,testimony
şart,must
diyebilirsin,you can call
hesabı,account
king,king
ktir,k is
icat,invention
sokağa,street
böylesine,such
etmeyecek,will not
çabucak,quickly
bölgesi,region
zorlu,tough
düşündük,We thought
mutsuz,unhappy
okuma,read
bekar,single
ajanı,agent
olmadım,I did not
geciktim,I am late
mutfakta,in the kitchen
arkadaşız,friends
giriyorum,I'm going
şeref,honor
oyna,play
aklımı,my mind
baktı,he looked
paylaşmak,share
inanabiliyor,you believe
diğerlerini,others
durumunda,in case of
buradalar,here
arkadaşımın,my friend's
çaldın,you stole
ek,additional
İşimi,my job
sent,cent
mulder,MuldeR
mutfak,kitchen
bn,bn
beyni,mastermind
hedefi,target
elaine,elaine
şahit,witness
saldırdı,attacked
gözlerim,my eyes
anlamıyla,literally
eninde,at the
yolcu,passenger
michelle,michelle
diyeceğimi,to say
kutusu,box
birincisi,first
anlarım,I know
ölmesini,dead
şeklinde,shaped
gözüm,My eye
açıklaması,description
deneyeceğim,I will try
yiyor,eating
pam,pam
transfer,transfer
han,inn
cesedini,his body
arasından,through
çıktığında,when out
buluşalım,let's meet
sonradan,later
teksas,Texas
tess,Tessa
başkasını,someone else
amına,am to
çocuklarını,children
Craig,Craig
ameliyatı,surgery
kızlara,the girls
olmamalı,should not be
telsiz,radio
açma,opening
aradığını,Leave it
çaba,effort
delisin,crazy
seçti,choosed
olmayacağını,would not be
İçine,Into
bulursun,you'll find
arkanda,behind you
ölmedi,it did not die
Kaplan,Tiger
gül,rose
büyüleyici,charming
gri,Grey
çıkabilir,may be
saygısızlık,disrespect
geçirdik,We had
gelmeni,to come
budala,fool
bulacaksın,You will find
tanımak,know
ölürsün,you're dead
tartışma,discussion
Lincoln,Lincoln
dünyadan,from the world
şeytanın,the devil
almanı,getting the
meksika,Mexican
önemlidir,It is important
Ellie,Ellie
sabırlı,patient
fincan,cup
arkadaşımla,my friend
basınç,pressure
salla,shake
aleti,the tool
dikkate,consider
sinemaya,to the cinema
üzerimden,off me
kaynak,source
pencere,window
göründüğü,it appears
masada,on the table
yazmak,write
devletler,states
silahlarınızı,your weapons
kaybolmuş,lost
ip,rope
dizi,sequence
sammy,sammy
çekmeye,shoot
hayali,imaginary
atmaya,throw
evinin,of home
sevgilisi,lover
vermeyin,Do not
alanında,in the area
alamam,I can not take
olanların,those who
kuralı,rule
bilmiyordu,He did not know
bakire,virgin
konuştuğunu,he spoke
kay,registration
harris,harris
yaptığımızı,do what we
olmasından,the fact that
ulaşmaya,reach
ediliyor,is being
uyumak,sleep
istemiş,want to have
kriz,crisis
düşündüğümü,I think
işti,business
karımın,my wife
seçeneğimiz,our choice
malzeme,material
kaldığını,that remains
renkli,colored
kendimize,ourselves
işimize,our business
bulduğunu,he found
sizsiniz,you're
duruyordu,He was standing
bakım,maintenance
sırt,back
kazası,accident
çoğunlukla,mostly
sör,sir
âşık,in love
defalarca,repeatedly
iğne,needle
şuan,now
kullanıyorsun,you use
evvel,before
vücudu,her body
silahla,weapon
keyfini,enjoy
oynuyorsun,you are playing
jess,jesse
kontrolden,control
elimizdeki,we have
alamazsın,you can not
dediniz,you said
savaştan,the war
duyarım,I heard
sandy,sandy
tersine,backwards
jules,jules
gözle,observed
öldükten,He died after
birlik,unity
koltuk,armchair
bağ,bond
çalışması,study
hazırlayın,prepare
solucan,worm
gittiğinde,when you go
hakları,rights
white,white
